Fact,Length
A cats field of vision is about 185 degrees.,44
Cats only sweat through their paws and nowhere else on their body,65
The cat appears to be the only domestic companion animal not mentioned in the Bible.,84
"Unlike humans, cats do not need to blink their eyes on a regular basis to keep their eyes lubricated.",101
"While it is commonly thought that the ancient Egyptians were the first to domesticate cats, the oldest known pet cat was recently found in a 9,500-year-old grave on the Mediterranean island of Cyprus. This grave predates early Egyptian art depicting cats by 4,000 years or more.",278
"Unlike humans, cats cannot detect sweetness which likely explains why they are not drawn to it at all.",102
"A kitten will typically weigh about 3 ounces at birth.  The typical male housecat will weigh between  7 and 9 pounds, slightly less for female housecats.",153
"In contrast to dogs, cats have not undergone major changes during their domestication process.",94
Cats walk on their toes.,24
A healthy cat has a temperature between 38 and 39 degrees Celcius.,66
"Relative to its body size, the clouded leopard has the biggest canines of all animals’ canines. Its dagger-like teeth can be as long as 1.8 inches (4.5 cm).",156
Many cats love having their forehead gently stroked.,52
"Like birds, cats have a homing ability that uses its biological clock, the angle of the sun, and the Earth's magnetic field. A cat taken far from its home can return to it. But if a cat's owners move far from its home, the cat can't find them.",243
"It may take as long as 2 weeks for a kitten to be able to hear well.  Their eyes usually open between 7 and 10 days, but sometimes it happens in as little as 2 days.",165
Jaguars are the only big cats that don't roar.,46
"The richest cat is Blackie who was left £15 million by his owner, Ben Rea.",74
Cats walk on their toes.,24
"Grown cats have 30 teeth. Kittens have about 26 temporary teeth, which they lose when they are about 6 months old.",114
Cat families usually play best in even numbers. Cats and kittens should be acquired in pairs whenever possible.,111
"While many parts of Europe and North America consider the black cat a sign of bad luck, in Britain and Australia, black cats are considered lucky.",146
